Median Home Value,Median Household Income,Zip Code
734400,83407,94116
911500,94479,94117
1000001,82857,94118
846400,72756,94121
774500,81768,94122
1000001,112650,94123
470400,50146,94124
916900,131351,94127
,,94128
,143320,94129
,37500,94130
859700,96889,94131
733100,69223,94132
931200,50485,94133
547800,56716,94134
643900,82195,94158
1000001,122473,94301
958800,80127,94303
1000001,103971,94304
1000001,64697,94305
1000001,110580,94306
570500,69832,94401
989200,107124,94402
755400,90764,94403
800700,114511,94404
607000,69076,94501
649200,105616,94502
330300,82746,94503
374900,111290,94505
944000,171214,94506
1000001,160279,94507
619400,60855,94508
203300,53953,94509
423700,88930,94510
687500,142885,94512
349200,91343,94513
367600,50199,94514
465600,60754,94515
576600,116677,94517
420900,70546,94518
337000,70476,94519
249400,47313,94520
390000,81144,94521
509500,77485,94523
361800,83716,94525
814600,124511,94526
571800,84466,94530
272700,87927,94531
211100,55413,94533
341700,92676,94534
,50970,94535
548600,87001,94536
480700,85945,94538
891100,143949,94539
330800,56656,94541
524900,84817,94542
305100,60448,94544
339100,69488,94545
475300,73099,94546
365600,97269,94547
973500,135980,94549
541200,102413,94550
430300,95716,94551
651300,138447,94552
379100,75672,94553
582300,111268,94555
886400,120960,94556
442500,72286,94558
415200,56895,94559
433100,85847,94560
235900,76693,94561
974400,164173,94563
341700,76960,94564
213300,55255,94565
793800,117475,94566
262500,56821,94567
562800,114812,94568
217500,54223,94571
294700,64756,94572
919800,83551,94574
,40104,94576
378200,63388,94577
332200,51518,94578
364300,72369,94579
343900,71098,94580
767100,137395,94582
641500,119623,94583
214900,70374,94585
815000,93036,94586
474300,82083,94587
641600,119849,94588
181600,56068,94589
181700,41819,94590
257900,73509,94591
335700,105352,94592
379800,57744,94595
727700,77173,94596
567400,86227,94597
719200,121067,94598
565900,70250,94599
267300,38305,94601
548500,71510,94602
214600,40927,94603
366400,56944,94605
326300,38363,94606
341100,32856,94607
342900,52787,94608
457000,52400,94609
666600,72848,94610
811100,104967,94611
358800,26054,94612
,,94615
,,94617
857700,116604,94618
450500,75963,94619
198200,31082,94621
526900,57457,94702
592600,55554,94703
642000,31116,94704
959300,94750,94705
615600,81206,94706
855300,138144,94707
853300,140611,94708
711500,57433,94709
540100,63125,94710
166100,40030,94801
344300,75052,94803
234500,49261,94804
285000,65747,94805
237800,52976,94806
,,94850
779100,72311,94901
634100,88646,94903
1000001,102538,94904
1000001,138884,94920
657900,28864,94922
662700,76583,94923
818000,63750,94924
878000,107193,94925
300400,56543,94928
684700,89306,94930
387600,66111,94931
1000001,50045,94937
1000001,97723,94939
728400,29813,94940
1000001,110221,94941
619200,83026,94945
1000001,131250,94946
570600,80719,94947
573800,77308,94949
768200,90027,94951
546300,76813,94952
413100,80645,94954
835300,57105,94956
895200,108629,94960
938100,91410,94965
1000001,81743,94970
,,94972
,,94974
,,94999
656700,83507,95003
408500,73107,95004
553200,73877,95005
441000,75944,95006
658700,87204,95008
473700,53275,95010
246800,55127,95012
1000001,127870,95014
633900,73125,95017
460200,71964,95018
273700,36791,95019
463000,81037,95020
338300,67481,95023
1000001,151538,95030
1000001,122163,95032
841900,116382,95033
513400,95437,95035
606900,95047,95037
294400,55724,95039
366700,65341,95043
384800,58005,95045
687400,92778,95046
601400,67630,95050
619600,100504,95051
605900,110099,95054
673400,62879,95060
561400,60035,95062
279200,54669,95064
659500,85156,95065
629700,106519,95066
1000001,158655,95070
594000,73987,95073
317900,52500,95075
366100,55208,95076
,,95101
386200,63184,95110
334300,57120,95111
421000,48370,95112
630700,34345,95113
320900,48805,95116
623800,63465,95117
603400,89265,95118
490500,109745,95119
922600,150675,95120
443600,82001,95121
330000,56140,95122
502200,87180,95123
670000,105924,95124
728400,97694,95125
577900,70351,95126
419600,68379,95127
572200,66533,95128
862100,104705,95129
675500,90759,95130
518200,104919,95131
568000,95198,95132
447700,66705,95133
169500,113212,95134
758300,124288,95135
512200,86547,95136
714400,143261,95138
517200,92421,95139
1000001,163229,95140
,,95141
582900,105438,95148
155600,14404,95202
155200,39301,95203
140400,44809,95204
105000,33043,95205
131700,43559,95206
162000,39301,95207
193400,72430,95209
121600,40182,95210
226100,61214,95212
147300,41736,95215
274700,73911,95219
379600,54000,95220
274000,52088,95222
341400,54360,95223
243600,61488,95228
298400,45769,95230
122400,37258,95231
218800,55417,95232
376700,81510,95236
212500,44542,95237
204500,41172,95240
273800,65601,95242
232300,62077,95245
212200,47379,95246
292700,47479,95247
211800,44038,95249
,,95250
149100,67171,95251
241900,65395,95252
195600,39308,95255
166700,46111,95257
265400,67386,95258
155500,48103,95301
269400,53750,95303
